NaviAddr	StreetAddr
999000	Ryslingeparken 999
995000	Bernhardt Jensens Boulevard 995
995001	Dagmar Petersens Gade 995
985000	Obstrupparken 985
983000	Jarlsmindevej 983
980000	Lystrupvej 980
966000	Helenelyst 966
965000	Helenelyst 965
964000	Helenelyst 964
963000	Helenelyst 963
962000	Helenelyst 962
959000	Mosevej 959
958000	Hasselvangen 958
958001	Holme Parkvej 958
957000	Ceresbyen 957
957001	Holme Parkvej 957
957002	Ketting Parkvej 957
957003	Viengevej 957
956000	Asmusgårdsvej 956
956001	Elevvej 956
956002	Holme Parkvej 956
956003	Ketting Parkvej 956
956004	Rønnevangen 956
955000	Asmusgårdsvej 955
955001	Ceresbyen 955
955002	Holme Parkvej 955
955003	Ketting Parkvej 955
955004	Mustrupvej 955
955005	Rønnevangen 955
955006	Skæring Egager 955
955007	Sønderholmvej 955
955008	Vintervej 955
954000	Anelystparken 954
954001	Asmusgårdsvej 954
954002	Gammel Kirkevej 954
954003	Helenelyst 954
954004	Indelukket 954
954005	Jegstrupvej 954
954006	Langballevej 954
954007	Mosegårdsparken 954
954008	Skæring Egager 954
954009	Skæringvangen 954
954010	Sønderskovvej 954
954011	Søskrænten 954
953000	Asmusgårdsvej 953
953001	Bærmosehøjen 953
953002	Flintebakken 953
953003	Gammel Kirkevej 953
953004	Helenelyst 953
953005	Hørretløkken 953
953006	Indelukket 953
953007	Ketting Parkvej 953
953008	Mosegårdsparken 953
953009	Mustrupvej 953
953010	Orholt Alle 953
953011	Runevej 953
953012	Sintrupvej 953
953013	Skæring Egager 953
953014	Skæringvangen 953
953015	Søftenvej 953
953016	Sønderholmvej 953
953017	Søskrænten 953
953018	Tronkærgårdsvej 953
953019	Vintervej 953
953020	Østergårdsvej 953
952000	Asmusgårdsvej 952
952001	Ellebrinken 952
952002	Engelundsvej 952
952003	Fyrrevej 952
952004	Gartnerparken 952
952005	H.P.Jensens Vej 952
952006	Helenelyst 952
952007	Højager 952
952008	Ingerslevvej 952
952009	Kristine Nielsens Gade 952
952010	Krogagre 952
952011	Majsmarken 952
952012	Mejlbyparken 952
952013	Mosegårdsparken 952
952014	Mustrupvej 952
952015	Porskær 952
952016	Præstehaven 952
952017	Skæring Egager 952
952018	Skæringvangen 952
952019	Solbjerg Hedevej 952
952020	Tronkærgårdsvej 952
952021	Østergårdsvej 952
952022	Åkrogs Strandvej 952
951000	Agernvej 951
951001	Brobjerg Parkvej 951
951002	Buggesgårdvej 951
951003	Bærmosehøjen 951
951004	Digesvalevej 951
951005	Egå Havvej 951
951006	Elsted Kirkevej 951
951007	Engelundsvej 951
951008	Engskovvænget 951
951009	Fjældevænget 951
951010	Flintebakken 951
951011	Frederiks Plads 951D
951012	Frederiks Plads 951E
951013	Frederiks Plads 951F
951014	Frederiks Plads 951A
951015	Frederiks Plads 951C
951016	Frederiks Plads 951B
951017	Gammel Kirkevej 951
951018	Grenåvej 951
951019	Hasselvangen 951
951020	Helenelyst 951
951021	Hjelmagervej 951
951022	Hvidkildevej 951
951023	Ketting Parkvej 951
951024	Krekærtoften 951
951025	Krogagre 951
951026	Kærgårdsvej 951
951027	Larixvej 951
951028	Laskedalen 951
951029	Logistikparken 951
951030	Marselisborg Havnevej 951
951031	Mejlbyparken 951
951032	Moselund, Haveforening 951
951033	Mosegårdsparken 951
951034	Mosegårdsvænget 951
951035	Møllegårdsvej 951
951036	Onsholtvej 951
951037	Porskær 951
951038	Ranunkelvej 951
951039	Rugholm, Haveforening 951
951040	Rødtjørnvej 951
951041	Segaltvej 951
951042	Sintrupvej 951
951043	Skejbytoften 951
951044	Skovhøj 951
951045	Skovlundvej 951
951046	Skæring Egager 951
951047	Storenorvej 951
951048	Sønderholmvej 951
951049	Søndervangs Alle 951
951050	Søskrænten 951
951051	Tronkærgårdsvej 951
951052	Vintervej 951
951053	Virup Skovvej 951
951054	Østergårdstoften 951
951055	Åbrinkvej 951
950000	Bakkely 950
950001	Bakketoften 950
950002	Banegårdspladsen 950
950003	Bavnegårdsvej 950
950004	Bernhardt Jensens Boulevard 950
950005	Bjødstrup Mose, Haveforening 950
950006	Bjørnholms Alle 950
950007	Blomstervej 950
950008	Bredevej 950
950009	Brendstrupgårdsvej 950
950010	Bronzealdertoften 950
950011	Byagervænget 950
950012	Damgårdstoften 950
950013	Damvej 950
950014	Digesvalevej 950
950015	Egegade 950
950016	Egå Møllevej 950
950017	Elleskovvej 950
950018	Elmehaven 950
950019	Elsted Kirkevej 950
950020	Engelundsvej 950
950021	Engskovvænget 950
950022	Fjældevænget 950
950023	Flinthøj 950
950024	Fredensborgparken 950
950025	Fredrik Nielsens Vej 950
950026	Gartnerparken 950
950027	H.C.Tvenges Vej 950
950028	Hasselvangen 950
950029	Hastruptoften 950
950030	Hedeager 950
950031	Helenelyst 950
950032	Helga Pedersens Gade 950
950033	Hjulby Hegn 950
950034	Hybenhaven 950
950035	Hørgårdsvej 950
950036	Inge Lehmanns Gade 950
950037	Janesvej 950
950038	Jarlsmindevej 950
950039	Kankbøllevej 950
950040	Kantorvænget 950
950041	Kappelvænget 950
950042	Kettinggårdsvej 950
950043	Ketting Parkvej 950
950044	Krekærtoften 950
950045	Krogagre 950
950046	Langagervej 950
950047	Laskedalen 950
950048	Latyrusvej 950
950049	Lauritshøj 950
950050	Lergravvænget 950
950051	Lisbjerg Vænge 950
950052	Logistikparken 950
950053	Mariedalsvej 950
950054	Marienlyst, Haveforening 950
950055	Mejlbyparken 950
950056	Mossøvej 950
950057	Mustrupvej 950
950058	Norringholm, Haveforening 950
950059	Nymarks Alle 950
950060	Nymarksvej 950
950061	Nålestien 950
950062	Onsholtgårdsvej 950
950063	Orholt Alle 950
950064	Ormslevbakken 950
950065	Ormslevvej 950
950066	Porskær 950
950067	Ranunkelvej 950
950068	Riisskov 950
950069	Rylevej 950
950070	Rønnevangen 950
950071	Sanovej 950
950072	Skovbakkevej 950
950073	Skødstrupbakken 950
950074	Solbjerg Hedevej 950
950075	Studstrupvej 950
950076	Sølyst, Haveforening 950
950077	Søkjærvej 950
950078	Sønderholmvej 950
950079	Taksvej 950
950080	Teglbakken 950
950081	Tilst Vestervej 950
950082	Tingskovparken 950
950083	Toftegårdsvej 950
950084	Tofteledet 950
950085	Trojavej 950
950086	Tronkærgårdsvej 950
950087	Ulvehaven 950
950088	Vestermarken 950
950089	Vestermøllevej 950
950090	Vikærsvej 950
950091	Vilhelmsborgvej 950
950092	Vintervej 950
950093	Virup Skovvej 950
950094	Vosnæsparken 950
950095	Vårgyvelvej 950
950096	Østergårdstoften 950
950097	Østergårdsvej 950
950098	Østerløkken 950
950099	Østervang 950
950100	Østervænget 950
950101	Brabrandstien 950
950102	Egevangens Busvej 950
941000	Silkeborgvej 941
939000	Silkeborgvej 939
939001	Silkeborgvej 939A
939002	Silkeborgvej 939B
937000	Silkeborgvej 937
935000	Silkeborgvej 935
933000	Silkeborgvej 933
933001	Silkeborgvej 933A
932000	Silkeborgvej 932
931000	Silkeborgvej 931
929000	Silkeborgvej 929
905000	Silkeborgvej 905
903000	Silkeborgvej 903
901000	Graham Bells Vej 901
901001	Silkeborgvej 901
900000	Silkeborgvej 900
889000	Silkeborgvej 889
885000	Silkeborgvej 885
881000	Silkeborgvej 881
871000	Silkeborgvej 871
861000	Grenåvej 861
840000	Grenåvej 840
840001	Silkeborgvej 840
838000	Grenåvej 838
836000	Grenåvej 836
834000	Grenåvej 834
833000	Silkeborgvej 833
832000	Grenåvej 832
830000	Grenåvej 830
828000	Grenåvej 828
826000	Grenåvej 826
824000	Grenåvej 824
824001	Grenåvej 824A
822000	Grenåvej 822
820000	Grenåvej 820
818000	Grenåvej 818
816000	Grenåvej 816
814000	Grenåvej 814
812000	Grenåvej 812
810000	Grenåvej 810
808000	Grenåvej 808
806000	Grenåvej 806
805000	Grenåvej 805
804000	Grenåvej 804
803000	Grenåvej 803
803001	Viborgvej 803
802000	Grenåvej 802
802001	Viborgvej 802
801000	Grenåvej 801
801001	Viborgvej 801
800000	Grenåvej 800
799000	Grenåvej 799
798000	Grenåvej 798
798001	Viborgvej 798
797000	Grenåvej 797B
797001	Grenåvej 797A
797002	Grenåvej 797C
797003	Grenåvej 797D
797004	Grenåvej 797E
797005	Grenåvej 797F
797006	Grenåvej 797G
797007	Grenåvej 797H
797008	Grenåvej 797K
797009	Grenåvej 797L
797010	Grenåvej 797M
797011	Grenåvej 797N
797012	Grenåvej 797P
797013	Grenåvej 797R
797014	Grenåvej 797S
796000	Grenåvej 796
795000	Grenåvej 795A
795001	Grenåvej 795C
795002	Grenåvej 795B
795003	Grenåvej 795D
795004	Grenåvej 795E
795005	Grenåvej 795F
795006	Grenåvej 795G
795007	Grenåvej 795H
794000	Grenåvej 794
794001	Viborgvej 794
793000	Grenåvej 793A
793001	Grenåvej 793B
793002	Grenåvej 793C
793003	Grenåvej 793D
793004	Grenåvej 793E
793005	Grenåvej 793F
793006	Grenåvej 793G
793007	Grenåvej 793H
793008	Grenåvej 793K
792000	Grenåvej 792
792001	Silkeborgvej 792
792002	Viborgvej 792A
792003	Viborgvej 792C
792004	Viborgvej 792D
791000	Grenåvej 791
791001	Silkeborgvej 791
790000	Grenåvej 790
790001	Silkeborgvej 790
789000	Grenåvej 789
789001	Grenåvej 789A
788000	Grenåvej 788A
788001	Grenåvej 788B
788002	Silkeborgvej 788
787000	Grenåvej 787
786000	Grenåvej 786
786001	Viborgvej 786
785000	Grenåvej 785
784000	Grenåvej 784
784001	Silkeborgvej 784A
784002	Silkeborgvej 784B
784003	Viborgvej 784A
784004	Viborgvej 784B
784005	Viborgvej 784C
783000	Grenåvej 783
783001	Silkeborgvej 783
783002	Viborgvej 783
782000	Grenåvej 782
782001	Silkeborgvej 782
781000	Grenåvej 781
781001	Silkeborgvej 781A
781002	Silkeborgvej 781B
780000	Grenåvej 780
780001	Grenåvej 780B
780002	Silkeborgvej 780
780003	Viborgvej 780
779000	Grenåvej 779
779001	Viborgvej 779
778000	Grenåvej 778
778001	Viborgvej 778
777000	Grenåvej 777
777001	Silkeborgvej 777
777002	Viborgvej 777
776000	Grenåvej 776
776001	Viborgvej 776
775000	Grenåvej 775
775001	Silkeborgvej 775
775002	Viborgvej 775
774000	Grenåvej 774
773000	Grenåvej 773
773001	Viborgvej 773
772000	Grenåvej 772
771000	Grenåvej 771
771001	Silkeborgvej 771
771002	Viborgvej 771
770000	Grenåvej 770
770001	Silkeborgvej 770
769000	Grenåvej 769
769001	Silkeborgvej 769
768000	Grenåvej 768A
768001	Grenåvej 768
767000	Grenåvej 767A
767001	Grenåvej 767B
767002	Grenåvej 767C
767003	Silkeborgvej 767
766000	Grenåvej 766
765000	Grenåvej 765
765001	Grenåvej 765A
765002	Silkeborgvej 765
765003	Silkeborgvej 765A
764000	Grenåvej 764
763000	Grenåvej 763
763001	Grenåvej 763A
762000	Grenåvej 762
762001	Grenåvej 762A
762002	Grenåvej 762B
762003	Grenåvej 762C
762004	Grenåvej 762D
761000	Grenåvej 761
761001	Viborgvej 761
761002	Viborgvej 761A
761003	Viborgvej 761B
760000	Grenåvej 760
760001	Viborgvej 760
759000	Grenåvej 759
758000	Grenåvej 758
758001	Grenåvej 758A
758002	Silkeborgvej 758
757000	Grenåvej 757A
757001	Grenåvej 757B
757002	Grenåvej 757C
757003	Grenåvej 757D
757004	Grenåvej 757E
757005	Grenåvej 757F
757006	Grenåvej 757G
756000	Grenåvej 756
755000	Grenåvej 755
755001	Grenåvej 755A
754000	Grenåvej 754
754001	Viborgvej 754
753000	Grenåvej 753
752000	Grenåvej 752
752001	Silkeborgvej 752
751000	Grenåvej 751
750000	Grenåvej 750
750001	Silkeborgvej 750
750002	Viborgvej 750
749000	Silkeborgvej 749
748000	Grenåvej 748A
748001	Grenåvej 748B
747000	Grenåvej 747A
747001	Grenåvej 747B
747002	Grenåvej 747C
747003	Grenåvej 747D
747004	Grenåvej 747E
747005	Grenåvej 747F
747006	Grenåvej 747G
747007	Grenåvej 747H
747008	Grenåvej 747K
747009	Grenåvej 747L
747010	Grenåvej 747M
747011	Grenåvej 747N
